1553525508000,accessed,cutscene,Introduccion
1553525508110,initialized,game,Adventure title
1553525508111,progressed,game,Adventure title,progress,0
1553525510276,accessed,area,Campamento.principal
1553525510309,initialized,completable,vago.afinidad
1553525510309,progressed,completable,vago.afinidad,progress,0
1553525510309,initialized,completable,chulo.afinidad
1553525510309,progressed,completable,chulo.afinidad,progress,0
1553525510309,initialized,completable,trabajador.afinidad
1553525510309,progressed,completable,trabajador.afinidad,progress,0
1553525510309,initialized,completable,sumiso.afinidad
1553525510309,progressed,completable,sumiso.afinidad,progress,0
1553525528426,accessed,area,Campamento.sur
1553525528463,accessed,area,Campamento.sur
1553525529709,accessed,area,Campamento.sur.tienda
1553525529756,accessed,area,Campamento.sur.tienda
1553525542174,progressed,completable,trabajador.afinidad,progress,1
1553525549207,accessed,area,Campamento.sur
1553525549257,accessed,area,Campamento.sur
1553525552423,accessed,area,Campamento.sur.tienda
1553525552455,accessed,area,Campamento.sur.tienda
1553525554165,accessed,area,Campamento.sur
1553525554201,accessed,area,Campamento.sur
1553525557819,accessed,area,Campamento.principal
1553525557854,accessed,area,Campamento.principal
1553525559280,accessed,area,Campamento.este
1553525559312,accessed,area,Campamento.este
1553525562369,accessed,area,Campamento.este.tienda
1553525562427,accessed,area,Campamento.este.tienda
1553525578440,progressed,completable,chulo.afinidad,progress,1
1553525581355,accessed,area,Campamento.este
1553525581391,accessed,area,Campamento.este
1553525583358,accessed,area,Campamento.principal
1553525583395,accessed,area,Campamento.principal
1553525588575,accessed,area,Campamento.norte
1553525588609,accessed,area,Campamento.norte
1553525590034,accessed,area,Campamento.norte.tienda
1553525590070,accessed,area,Campamento.norte.tienda
1553525597378,progressed,completable,sumiso.afinidad,progress,1
1553525597379,selected,question,sumiso.presentacion.1,success,false,response,Hueles a cobarde…,Sumiso.afinidad,0,Sumiso.presentado,1
1553525599286,accessed,area,Campamento.norte
1553525599335,accessed,area,Campamento.norte
1553525601194,accessed,area,Campamento.principal
1553525601229,accessed,area,Campamento.principal
1553525608093,accessed,area,Campamento.oeste
1553525608126,accessed,area,Campamento.oeste
1553525610271,accessed,area,Campamento.oeste.tienda
1553525610305,accessed,area,Campamento.oeste.tienda
1553525615612,progressed,completable,vago.afinidad,progress,1
1553525615612,selected,question,VagoPresentarse,success,false,response,Si,VagoAfinidad,10,VagoPresentado,1
1553525628441,accessed,area,Campamento.oeste
1553525628477,accessed,area,Campamento.oeste
1553525636510,accessed,area,Campamento.principal
1553525636545,accessed,area,Campamento.principal
1553525638153,accessed,area,HUDTareas
1553525638193,accessed,area,HUDTareas
1553525640248,accessed,area,Tejado
1553525640282,accessed,area,Tejado
1553525646448,progressed,completable,vago.afinidad,progress,1
1553525646450,completed,completable,vago.afinidad,success,true,score,0,time,136.1390365
1553525646450,progressed,game,Adventure title,progress,0.25
1553525647708,accessed,area,HUDTareas
1553525647771,accessed,area,HUDTareas
1553525649187,accessed,area,Comedor
1553525649224,accessed,area,Comedor
1553525666256,progressed,completable,chulo.afinidad,progress,1
1553525666259,completed,completable,chulo.afinidad,success,true,score,10,time,155.9475171
1553525666259,progressed,game,Adventure title,progress,0.5
1553525667798,accessed,area,HUDTareas
1553525667832,accessed,area,HUDTareas
1553525669178,accessed,area,Pared
1553525669215,accessed,area,Pared
1553525689994,progressed,completable,trabajador.afinidad,progress,1
1553525689996,completed,completable,trabajador.afinidad,success,true,score,10,time,179.6854841
1553525689996,progressed,game,Adventure title,progress,0.75
1553525691447,accessed,area,HUDTareas
1553525691485,accessed,area,HUDTareas
1553525695549,accessed,area,Puerta
1553525695585,accessed,area,Puerta
1553525705203,progressed,completable,sumiso.afinidad,progress,1
1553525705205,completed,completable,sumiso.afinidad,success,true,score,5,time,194.8942937
1553525705205,progressed,game,Adventure title,progress,1
1553525706639,accessed,area,HUDTareas
1553525706692,accessed,area,HUDTareas
1553525707291,accessed,area,Campamento.principal
1553525707334,accessed,area,Campamento.principal
1553525721880,accessed,area,HUDTareas
1553525721914,accessed,area,HUDTareas
1553525726276,accessed,area,Campamento.principal
1553525726311,accessed,area,Campamento.principal
